type,beta,delta,p,c,gamma,roh,alpha,SSR
bootstrap_150,1e-08,0.060642509637147644,156.0,500.0,0.0006593988147935482,10.0,10.532243640159017,90.07337752456856
bootstrap_151,1e-08,0.06034648581577614,156.0,500.0,0.0006574575302551061,10.0,10.531828187144908,86.90261602679823
bootstrap_152,1e-08,0.04526734727994037,156.0,497.92634585112205,0.00027180668284183096,10.0,9.09510463180803,98.53526639795919
bootstrap_153,1e-08,0.030615842993574838,156.0,500.0,0.0002691088723249256,10.0,10.532263283041134,97.46339627133833
bootstrap_154,1e-08,0.04470690798193429,156.0,498.21557548844646,0.00027166104304163924,10.0,9.109118560391863,90.79535661587379
bootstrap_155,1e-08,0.04467377575645187,156.0,498.5258972316146,0.00027136997843830096,10.0,9.083653330097874,90.67057062219493
bootstrap_156,1e-08,0.043430632957944255,156.0,496.4176584958844,0.00027125622382751,10.0,9.134086074430513,88.62932610951408
bootstrap_157,1e-08,0.04659067874609635,156.0,499.6931683916111,0.00026867351136196116,10.0,9.302652513222988,87.59123387270041
bootstrap_158,1e-08,0.060485077201184734,156.0,500.0,0.0006585488017592467,10.0,10.5324,80.98838753053901
bootstrap_159,1e-08,0.06440390245530694,156.0,500.0,0.0006478198140713882,10.0,10.532292632601685,95.78761169149037
bootstrap_160,1e-08,0.044477878700420845,156.0,497.77222339978476,0.0002713275583387521,10.0,9.107954834986721,84.20152744210611
bootstrap_161,1e-08,0.030615842993574838,156.0,500.0,0.0002691088723249256,10.0,10.532263283041134,95.68294324229156
bootstrap_162,1e-08,0.04447787099328245,156.0,497.7721780889574,0.0002713275529323427,10.0,9.107943885026552,93.73731923942677
bootstrap_163,1e-08,0.030725246733604498,156.0,500.0,0.00026915334696373173,10.0,10.532399999999996,85.8719043367357
bootstrap_164,1e-08,0.030971478193387882,16005.951255940305,316.6661612256169,0.00028883406855829464,8.306432085159702,9.999856920036978,93.12886280957959
bootstrap_165,1e-08,0.010234011975579715,156.0,474.66001913186244,0.0005775433949563287,10.0,9.979776096388765,95.69899117613564
bootstrap_166,1e-08,0.045102846780200836,156.0,498.70201590048964,0.00027169803787486797,10.0,9.07791717378646,94.17594653878292
bootstrap_167,1e-08,0.04467438822331195,156.0,498.52553576524065,0.0002713690261274492,10.0,9.083669858948682,90.86552772093548
bootstrap_168,1e-08,0.04481961882371821,156.0,498.55465310834643,0.0002714642276260468,10.0,9.086770529643495,90.89767999175163
bootstrap_169,1e-08,0.03138758643760089,156.0,499.99990254759444,0.00026969030513169156,10.0,10.5324,91.17599854786607
bootstrap_170,1e-08,0.04343857220117048,156.0,497.13208151570916,0.0002712205643244576,10.0,9.163518847345639,98.90137992388675
bootstrap_171,1e-08,0.06053427891110891,156.0,500.0,0.0006569205533156998,10.0,10.5324,96.35450611346495
bootstrap_172,1e-08,0.044764030093150366,156.0,498.3292995150763,0.00027144356556920725,10.0,9.088887396466264,88.92807165914664
bootstrap_173,1e-08,0.04463395858447705,156.0,498.3859813999402,0.00027130599272746697,10.0,9.083459964461191,90.41692715932739
bootstrap_174,1e-08,0.0449732038266457,156.0,497.2452876818829,0.0002714670885403124,10.0,9.122492498596499,99.62451862406176
bootstrap_175,1e-08,0.04475888032816282,156.0,498.3170247271551,0.00027143926158203647,10.0,9.089414667255376,96.45991571605593
bootstrap_176,1e-08,0.028927654202763983,156.0,500.0,0.0002679585978441638,10.0,10.531716332687653,90.92662947538203
bootstrap_177,1e-08,0.043438547604281834,156.0,497.1320957895367,0.0002712205623096143,10.0,9.163518448305348,92.33688795302575
bootstrap_178,1e-08,0.0434308094117029,156.0,496.41783929021466,0.0002712563278094228,10.0,9.134081466821721,96.88103729949994
bootstrap_179,1e-08,0.0600827666810249,156.0,500.0,0.0006540547136625448,10.0,10.53165163927078,101.68047728124778
bootstrap_180,1e-08,0.043438547604281834,156.0,497.1320957895367,0.0002712205623096143,10.0,9.163518448305348,96.1640032611549
bootstrap_181,1e-08,0.04467429885033498,156.0,498.52626263670476,0.00027136906607416956,10.0,9.083654163903997,90.84084245755088
bootstrap_182,1e-08,0.044679959009993594,156.0,498.53008253725693,0.00027137258222942415,10.0,9.083579646416528,92.04721077186645
bootstrap_183,1e-08,0.048125736833887614,156.0,499.90120958120986,0.0002700612474150443,10.0,9.116525355797222,79.64667130404146
bootstrap_184,1e-08,0.030874478410014,156.0,499.9924498551751,0.00026933783951092456,10.0,10.53204716997746,87.74376471264853
bootstrap_185,1e-08,0.010425867489946224,156.0,447.5417604906361,0.0005633069422142444,10.0,9.812374012239385,94.10588849615485
bootstrap_186,1e-08,0.045124131938346815,156.0,498.70939490517674,0.0002717091535869141,10.0,9.076468444387816,89.15941201415491
bootstrap_187,1e-08,0.042496631844236875,156.0,447.4904506999651,0.00026860214020947993,10.0,9.757863937368242,93.66823126633399
bootstrap_188,1e-08,0.045119192631685,156.0,497.95987258898595,0.00027169956493066033,10.0,9.11126816993874,82.05699057250503
bootstrap_189,1e-08,0.04505140043062846,156.0,498.64278273033045,0.0002716651007970306,10.0,9.08105506997083,105.41549198815326
bootstrap_190,1e-08,0.010507527990675742,156.0,446.6111084913303,0.0005662156062501344,10.0,9.763464009340638,85.79569685396783
bootstrap_191,1e-08,0.03318663858224215,156.0,489.1133282637844,0.0002706353831608095,10.0,10.53235480721851,87.93810070284488
bootstrap_192,1e-08,0.04424130021369537,156.0,493.65270735114916,0.000271261666504398,10.0,9.376159706876976,83.76967854190006
