type,beta,delta,p,c,gamma,roh,alpha,SSR
bootstrap_386,1e-08,1.45726640633341,47787.52843006541,468.18455982846393,1.0605428421519809e-05,0.49988245561260247,9.535544729694191,31.13717514882696
bootstrap_387,1e-08,0.8761062790976009,1191.946260782931,284.5542847730402,1.0308186836170952e-05,0.5,10.02491318007013,27.594844085010596
bootstrap_388,1e-08,0.9332410246976084,1000.0025341734531,303.4133615787167,1.0558210927130958e-05,0.5,9.612503092922186,32.30533188701537
bootstrap_389,1e-08,0.876106266685217,1191.9462841954623,284.5542811621784,1.0308186833924092e-05,0.5,10.024913184002067,30.55056438363286
bootstrap_390,1e-08,0.8916245165528909,1166.7349628788766,289.55835376009657,1.0298792845572056e-05,0.5,10.039889539576505,30.98072817128319
bootstrap_391,1e-08,0.8916245165528909,1166.7349628788766,289.55835376009657,1.0298792845572056e-05,0.5,10.039889539576505,30.098541394221897
bootstrap_392,1e-08,0.9332375163334059,1000.0,303.41233316688806,1.0558236460061365e-05,0.5,9.612461175273127,30.289598499226138
bootstrap_393,1e-08,0.9332375163334059,1000.0,303.41233316688806,1.0558236460061365e-05,0.5,9.612461175273127,27.20810655125449
bootstrap_394,1e-08,0.8916242041675606,1166.735305161932,289.55824133226116,1.0298792426963708e-05,0.5,10.039890235769267,30.046417745048544
bootstrap_395,1e-08,1.4987829323071429,47907.526561663726,458.820609274271,1.063520849140515e-05,0.49995322972978784,9.489395578614603,27.962383955704727
bootstrap_396,1e-08,0.8916245165528909,1166.7349628788766,289.55835376009657,1.0298792845572056e-05,0.5,10.039889539576505,28.74305805248636
bootstrap_397,1e-08,0.8916250438527016,1166.7349921633995,289.55853982884594,1.0298793096197225e-05,0.5,10.039889128831149,29.008965060183847
bootstrap_398,1e-08,0.9332375742836243,1000.0,303.4120229360503,1.05582401093446e-05,0.5,9.612455170723944,29.3718699235579
bootstrap_399,1e-08,0.9332375742836243,1000.0,303.4120229360503,1.05582401093446e-05,0.5,9.612455170723944,30.490772561752856
bootstrap_400,1e-08,0.9332375032444813,1000.0000059428032,303.41233346864215,1.0558236366318102e-05,0.5,9.61246133434065,27.90709458231497
bootstrap_401,1e-08,0.8761062790976009,1191.946260782931,284.5542847730402,1.0308186836170952e-05,0.5,10.02491318007013,31.235730433179103
bootstrap_402,1e-08,0.9332375163334059,1000.0,303.41233316688806,1.0558236460061365e-05,0.5,9.612461175273127,28.986522341412098
bootstrap_403,1e-08,0.8916245165528909,1166.7349628788766,289.55835376009657,1.0298792845572056e-05,0.5,10.039889539576505,29.649335436851523
bootstrap_404,1e-08,0.8916245165528909,1166.7349628788766,289.55835376009657,1.0298792845572056e-05,0.5,10.039889539576505,28.090436958782366
bootstrap_405,1e-08,0.9334877757596114,1000.0582985294557,303.49854610267573,1.0558447560271802e-05,0.5,9.612114946297545,32.516681276761396
bootstrap_406,1e-08,0.9332375742836243,1000.0,303.4120229360503,1.05582401093446e-05,0.5,9.612455170723944,30.165805797717027
bootstrap_407,1e-08,1.4572659412750264,47787.53260324464,468.18457369723296,1.0605428214309126e-05,0.49988245564868566,9.535545070218912,30.04624734752425
bootstrap_408,1e-08,0.8916245165528909,1166.7349628788766,289.55835376009657,1.0298792845572056e-05,0.5,10.039889539576505,28.30610644127364
bootstrap_409,1e-08,0.9332373358139034,1000.0000330497006,303.4122697175718,1.0558236354272359e-05,0.5,9.612461349485944,31.45698635878761
bootstrap_410,1e-08,0.8761062790976009,1191.946260782931,284.5542847730402,1.0308186836170952e-05,0.5,10.02491318007013,28.984626894272772
